"symbol","date","open","high","low","close","volume","adjusted"
"^NDX",1990-01-02,223.835007,227.725006,220.434998,227.725006,221440000,227.725006
"^NDX",1990-01-03,227.725006,228.940002,226.100006,226.100006,305320000,226.100006
"^NDX",1990-01-04,226.100006,226.175003,222.710007,224.714996,295900000,224.714996
"^NDX",1990-01-05,224.714996,224.794998,222.889999,223.139999,274460000,223.139999
"^NDX",1990-01-08,223.139999,223.580002,221.639999,223.539993,231000000,223.539993
"^NDX",1990-01-09,223.539993,224.330002,221.080002,221.179993,266260000,221.179993
"^NDX",1990-01-10,221.179993,221.179993,216.464996,216.554993,287780000,216.554993
"^NDX",1990-01-11,216.554993,218.220001,213.505005,213.505005,266000000,213.505005
"^NDX",1990-01-12,213.505005,213.505005,208.404999,208.794998,287000000,208.794998
"^NDX",1990-01-15,208.794998,209.335007,207.289993,207.615005,216120000,207.615005
"^NDX",1990-01-16,207.615005,212,204.759995,211.914993,295180000,211.914993
"^NDX",1990-01-17,211.914993,213.899994,210.449997,210.604996,278300000,210.604996
"^NDX",1990-01-18,210.604996,210.625,208.309998,210.570007,272660000,210.570007
"^NDX",1990-01-19,210.570007,214.889999,210.570007,213.910004,304340000,213.910004
"^NDX",1990-01-22,213.910004,213.910004,207.884995,208.059998,260980000,208.059998
"^NDX",1990-01-23,208.059998,209.985001,206.074997,207.479996,282880000,207.479996
"^NDX",1990-01-24,207.479996,209.75,205.75,206.744995,326860000,206.744995
"^NDX",1990-01-25,206.744995,209.830002,205.470001,205.774994,261000000,205.774994
"^NDX",1990-01-26,205.774994,206.75,201.240005,203.244995,272680000,203.244995
"^NDX",1990-01-29,203.244995,204.815002,200.119995,202.054993,237180000,202.054993
"^NDX",1990-01-30,202.054993,202.054993,196.684998,197.654999,320320000,197.654999
"^NDX",1990-01-31,197.654999,201.964996,197.654999,201.940002,296000000,201.940002
"^NDX",1990-02-01,201.940002,203.044998,200.524994,203.044998,270940000,203.044998
"^NDX",1990-02-02,203.044998,206.755005,202.690002,205.615005,270040000,205.615005
"^NDX",1990-02-05,205.615005,206.835007,205.070007,206.490005,216700000,206.490005
"^NDX",1990-02-06,206.490005,206.714996,203.774994,205.074997,239400000,205.074997
"^NDX",1990-02-07,205.074997,207.199997,202.910004,206.804993,298600000,206.804993
"^NDX",1990-02-08,206.804993,209.580002,206.804993,207.244995,280060000,207.244995
"^NDX",1990-02-09,207.244995,208.744995,206.919998,208.494995,250660000,208.494995
"^NDX",1990-02-12,208.494995,208.520004,205.945007,206.880005,226060000,206.880005
"^NDX",1990-02-13,206.880005,207.994995,205.345001,207.199997,254460000,207.199997
"^NDX",1990-02-14,207.199997,208.535004,206.985001,208.059998,279080000,208.059998
"^NDX",1990-02-15,208.059998,210.104996,206.869995,209.929993,304760000,209.929993
"^NDX",1990-02-16,209.929993,210.434998,208.309998,208.354996,240440000,208.354996
"^NDX",1990-02-20,208.354996,208.354996,203.345001,205.065002,216560000,205.065002
"^NDX",1990-02-21,205.065002,205.440002,201.820007,204.75,240200000,204.75
"^NDX",1990-02-22,204.75,206.854996,203.975006,204.190002,269740000,204.190002
"^NDX",1990-02-23,204.190002,204.190002,200.404999,201.794998,234440000,201.794998
"^NDX",1990-02-26,201.794998,204.675003,201.395004,204.625,229200000,204.625
"^NDX",1990-02-27,204.649994,206.710007,204.649994,205.785004,261700000,205.785004
"^NDX",1990-02-28,205.785004,208.589996,205.600006,207.914993,258800000,207.914993
"^NDX",1990-03-01,207.914993,210.020004,206.524994,209.104996,268480000,209.104996
"^NDX",1990-03-02,209.104996,211.544998,208.904999,211.539993,264740000,211.539993
"^NDX",1990-03-05,211.539993,212.080002,209.345001,210.389999,222000000,210.389999
"^NDX",1990-03-06,210.389999,212.505005,207.669998,210.960007,278300000,210.960007
"^NDX",1990-03-07,210.960007,211.865005,209.809998,210.154999,335100000,210.154999
"^NDX",1990-03-08,210.154999,213.570007,209.610001,213.110001,291460000,213.110001
"^NDX",1990-03-09,213.110001,214.130005,212.475006,213.820007,270240000,213.820007
"^NDX",1990-03-12,213.820007,213.830002,211.919998,213.524994,207680000,213.524994
"^NDX",1990-03-13,213.524994,214.024994,211.490005,211.509995,247240000,211.509995
"^NDX",1990-03-14,211.509995,212.845001,210.710007,212.270004,244360000,212.270004
"^NDX",1990-03-15,212.304993,214.130005,212.095001,213.479996,257360000,213.479996
"^NDX",1990-03-16,214.080002,218.800003,214.080002,217.960007,352080000,217.960007
"^NDX",1990-03-19,217.960007,220.134995,215.960007,219.869995,258800000,219.869995
"^NDX",1990-03-20,219.869995,220.104996,216.25,216.925003,288440000,216.925003
"^NDX",1990-03-21,216.925003,217.824997,215.699997,215.850006,262160000,215.850006
"^NDX",1990-03-22,215.850006,216.255005,211.225006,212.539993,292440000,212.539993
"^NDX",1990-03-23,212.539993,215.384995,212.539993,214.490005,261480000,214.490005
"^NDX",1990-03-26,214.490005,217.274994,214.490005,216.434998,192560000,216.434998
"^NDX",1990-03-27,216.434998,217.949997,214.970001,217.470001,213820000,217.470001
"^NDX",1990-03-28,217.470001,217.470001,213.220001,214.229996,264520000,214.229996
"^NDX",1990-03-29,214.229996,214.610001,212.369995,213.110001,248380000,213.110001
"^NDX",1990-03-30,213.110001,214.264999,211.705002,213.145004,253260000,213.145004
"^NDX",1990-04-02,213.145004,213.145004,209.895004,212.669998,222760000,212.669998
"^NDX",1990-04-03,212.669998,216.809998,212.669998,216.809998,269500000,216.809998
"^NDX",1990-04-04,216.809998,217.729996,214.580002,215.479996,276760000,215.479996
"^NDX",1990-04-05,215.479996,216.054993,213.869995,214.059998,268480000,214.059998
"^NDX",1990-04-06,214.059998,214.695007,212.014999,212.475006,273140000,212.475006
"^NDX",1990-04-09,212.475006,213.149994,211.274994,212.115005,224740000,212.115005
"^NDX",1990-04-10,212.115005,214.044998,211.945007,213.225006,259000000,213.225006
"^NDX",1990-04-11,213.225006,215.600006,213.225006,214.524994,267640000,214.524994
"^NDX",1990-04-12,214.524994,217.190002,214.524994,216.044998,282820000,216.044998
"^NDX",1990-04-16,216.044998,218.25,216.044998,216.925003,249300000,216.925003
"^NDX",1990-04-17,216.880005,216.880005,214.399994,216.5,272900000,216.5
"^NDX",1990-04-18,216.5,217.095001,212.804993,213.145004,299500000,213.145004
"^NDX",1990-04-19,213.145004,213.145004,210.705002,210.869995,291280000,210.869995
"^NDX",1990-04-20,210.869995,212.065002,207.934998,208.619995,300640000,208.619995
"^NDX",1990-04-23,208.580002,208.580002,203.764999,205.630005,251980000,205.630005
"^NDX",1990-04-24,205.630005,207.845001,204.229996,204.759995,253580000,204.759995
"^NDX",1990-04-25,204.759995,205.934998,204.460007,205.580002,243420000,205.580002
"^NDX",1990-04-26,205.580002,207.095001,204.744995,205.785004,231860000,205.785004
"^NDX",1990-04-27,205.785004,206.520004,203.014999,203.669998,232020000,203.669998
"^NDX",1990-04-30,203.669998,206.050003,202.970001,205.815002,211580000,205.815002
"^NDX",1990-05-01,205.815002,207.589996,205.815002,207.039993,248260000,207.039993
"^NDX",1990-05-02,207.039993,208.684998,207.039993,208.5,286520000,208.5
"^NDX",1990-05-03,208.580002,211.264999,208.580002,210.089996,321700000,210.089996
"^NDX",1990-05-04,210.089996,212.729996,209.899994,212.705002,273620000,212.705002
"^NDX",1990-05-07,212.705002,216.054993,212.705002,215.029999,245380000,215.029999
"^NDX",1990-05-08,215.029999,215.625,214.184998,215.169998,267680000,215.169998
"^NDX",1990-05-09,215.169998,215.654999,214.119995,215.429993,293260000,215.429993
"^NDX",1990-05-10,215.429993,217.074997,214.865005,216.809998,284980000,216.809998
"^NDX",1990-05-11,216.809998,221.095001,216.619995,220.889999,335120000,220.889999
"^NDX",1990-05-14,220.919998,225.675003,220.919998,223.860001,354340000,223.860001
"^NDX",1990-05-15,223.860001,224.785004,222.285004,224.490005,324660000,224.490005
"^NDX",1990-05-16,224.490005,225.214996,222.505005,225.125,304980000,225.125
"^NDX",1990-05-17,225.130005,227.304993,225.130005,226.639999,342820000,226.639999
"^NDX",1990-05-18,226.639999,228.975006,225.845001,228.509995,382820000,228.509995
"^NDX",1990-05-21,228.509995,232.414993,228.509995,232.214996,338940000,232.214996
"^NDX",1990-05-22,232.214996,234.725006,230.945007,232.845001,380320000,232.845001
"^NDX",1990-05-23,232.845001,236.119995,232.104996,236.059998,377480000,236.059998
"^NDX",1990-05-24,236.059998,237.824997,235.809998,237.035004,348660000,237.035004
"^NDX",1990-05-25,236.990005,236.990005,232.005005,232.199997,304380000,232.199997
"^NDX",1990-05-29,232.199997,235.990005,232.020004,235.839996,268000000,235.839996
"^NDX",1990-05-30,235.839996,237.925003,235.240005,236.354996,338700000,236.354996
"^NDX",1990-05-31,236.354996,237.470001,234.779999,236.149994,314520000,236.149994
"^NDX",1990-06-01,236.149994,238.669998,236.149994,237.884995,336120000,237.884995
"^NDX",1990-06-04,237.884995,240.259995,235.934998,240.110001,284340000,240.110001
"^NDX",1990-06-05,240.110001,240.970001,236.990005,237.845001,346920000,237.845001
"^NDX",1990-06-06,237.845001,238.785004,236.675003,238.054993,313040000,238.054993
"^NDX",1990-06-07,238.054993,239.585007,235.934998,237.384995,302080000,237.384995
"^NDX",1990-06-08,237.384995,237.384995,233.154999,234.729996,275800000,234.729996
"^NDX",1990-06-11,234.729996,236.970001,232.755005,236.949997,224440000,236.949997
"^NDX",1990-06-12,236.949997,240.205002,236.830002,240.110001,326580000,240.110001
"^NDX",1990-06-13,240.110001,242.845001,240.080002,242.054993,327100000,242.054993
"^NDX",1990-06-14,242.054993,242.115005,239.264999,240.514999,310340000,240.514999
"^NDX",1990-06-15,240.514999,241.365005,239.509995,240.785004,337000000,240.785004
"^NDX",1990-06-18,240.785004,240.785004,236.289993,236.710007,315300000,236.710007
"^NDX",1990-06-19,236.710007,237.270004,234.940002,236.774994,285960000,236.774994
"^NDX",1990-06-20,236.774994,238.384995,235.714996,237.315002,296180000,237.315002
"^NDX",1990-06-21,237.315002,238.259995,236.085007,238.145004,288580000,238.145004
"^NDX",1990-06-22,238.145004,239.570007,235.690002,235.740005,335080000,235.740005
"^NDX",1990-06-25,235.740005,236.535004,232.664993,232.914993,227120000,232.914993
"^NDX",1990-06-26,232.914993,235.604996,232.585007,232.940002,263240000,232.940002
"^NDX",1990-06-27,232.940002,235.475006,231.759995,234.949997,274900000,234.949997
"^NDX",1990-06-28,235.259995,237.729996,235.259995,237.414993,297640000,237.414993
"^NDX",1990-06-29,237.490005,238.929993,237.490005,238.460007,317620000,238.460007
"^NDX",1990-07-02,238.460007,238.904999,237.574997,238.419998,228300000,238.419998
"^NDX",1990-07-03,238.419998,238.419998,236.824997,238.184998,262040000,238.184998
"^NDX",1990-07-05,238.184998,238.184998,236.210007,237.300003,195520000,237.300003
"^NDX",1990-07-06,237.300003,238.729996,235.839996,238.464996,202800000,238.464996
"^NDX",1990-07-09,238.464996,240.184998,238.25,239.600006,237000000,239.600006
"^NDX",1990-07-10,239.600006,240.445007,238.035004,238.660004,284540000,238.660004
"^NDX",1990-07-11,238.660004,240.824997,237.190002,240.774994,318060000,240.774994
"^NDX",1990-07-12,240.774994,243.585007,239.929993,243.425003,307400000,243.425003
"^NDX",1990-07-13,243.425003,246.470001,243.130005,244.740005,321180000,244.740005
"^NDX",1990-07-16,244.740005,246.815002,244.25,246.179993,276140000,246.179993
"^NDX",1990-07-17,246.179993,246.389999,240.934998,241.524994,335620000,241.524994
